if_,Genotype,Phenotype,Activity_Score,Comment,Gene,Flag,Flag_Note
C__25625805_10WTC__27104892_10WTC__27859817_40HETC__32287221_20HETC__25625804_10WTC__30634132_70WT,*5/*6,Poor Metabolizer,0,"Little to no CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10WTC__27104892_10WTC__27859817_40HETC__32287221_20WTC__25625804_10HETC__30634132_70WT,*5/*8,Poor Metabolizer,0.5,"Little to no CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10WTC__27104892_10WTC__27859817_40WTC__32287221_20HETC__25625804_10WTC__30634132_70HET,*6/*11,Poor Metabolizer,0.5,"Little to no CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10WTC__27104892_10WTC__27859817_40WTC__32287221_20MUTC__25625804_10WTC__30634132_70WT,*6/*6,Poor Metabolizer,0,"Little to no CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10WTC__27104892_10WTC__27859817_40WTC__32287221_20HETC__25625804_10HETC__30634132_70WT,*6/*8,Poor Metabolizer,0.5,"Little to no CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10WTC__27104892_10WTC__27859817_40WTC__32287221_20WTC__25625804_10HETC__30634132_70HET,*8/*11,Intermediate Metabolizer,1,"Decreased CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
C__25625805_10WTC__27104892_10WTC__27859817_40WTC__32287221_20WTC__25625804_10MUTC__30634132_70WT,*8/*8,Intermediate Metabolizer,1,"Decreased CYP2C9 enzyme activity. Pharmacogenetic variability in the CYP2C9 enzyme can affect the plasma concentrations of many medications, including some NSAIDs (i.e., ibuprofen, celecoxib, meloxicam, flurbiprofen, piroxicam), phenytoin, and warfarin. For warfarin, also consider VKORC1 genotype.",CYP2C9,yes,A
Hs00010001_cn2.0C___2222771_A0WTC__11484460_40WTC__27102414_10WTC__27102425_10WTC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*1/*1,Normal Metabolizer,2,"Normal CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,no,
Hs00010001_cn2C___2222771_A0WTC__11484460_40WTC__27102414_10WTC__27102425_10WTC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*1/*1,Normal Metabolizer,2,"Normal CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,no,
Hs00010001_cn3.0C___2222771_A0WTC__11484460_40WTC__27102414_10WTC__27102425_10WTC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*1/*1 DUP,Ultrarapid Metabolizer,3^,"Increased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn3C___2222771_A0WTC__11484460_40WTC__27102414_10WTC__27102425_10WTC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*1/*1 DUP,Ultrarapid Metabolizer,3^,"Increased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
Hs00010001_cn2.0C___2222771_A0WTC__11484460_40HETC__27102414_10HETC__27102425_10WTC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*1/*10,Normal Metabolizer,1.25,"Normal CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,no,
Hs00010001_cn2C___2222771_A0WTC__11484460_40HETC__27102414_10HETC__27102425_10WTC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*1/*10,Normal Metabolizer,1.25,"Normal CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,no,
Hs00010001_cn3.0C___2222771_A0WTC__11484460_40HETC__27102414_10HETC__27102425_10WTC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*1/*10 DUP,Normal to Ultrarapid Metabolizer,1.5^,"Normal to increased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype. CYP2D6 Ultrarapid metabolizer phenotype is possible for this patient. The result of duplication “DUP” does not indicate which allele is duplicated.",CYP2D6,yes,A
Hs00010001_cn3C___2222771_A0WTC__11484460_40HETC__27102414_10HETC__27102425_10WTC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*1/*10 DUP,Normal to Ultrarapid Metabolizer,1.5^,"Normal to increased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype. CYP2D6 Ultrarapid metabolizer phenotype is possible for this patient. The result of duplication “DUP” does not indicate which allele is duplicated.",CYP2D6,yes,A
Hs00010001_cn2.0C___2222771_A0HETC__11484460_40WTC__27102414_10HETC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*1/*17,Normal Metabolizer,1.5,"Normal CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,no,
Hs00010001_cn2C___2222771_A0HETC__11484460_40WTC__27102414_10HETC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*1/*17,Normal Metabolizer,1.5,"Normal CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,no,
Hs00010001_cn3.0C___2222771_A0HETC__11484460_40WTC__27102414_10HETC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*1/*17 DUP,Normal to Ultrarapid Metabolizer,2^,"Normal to increased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype. CYP2D6 Ultrarapid metabolizer phenotype is possible for this patient. The result of duplication “DUP” does not indicate which allele is duplicated.",CYP2D6,yes,A
Hs00010001_cn3C___2222771_A0HETC__11484460_40WTC__27102414_10HETC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*1/*17 DUP,Normal to Ultrarapid Metabolizer,2^,"Normal to increased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype. CYP2D6 Ultrarapid metabolizer phenotype is possible for this patient. The result of duplication “DUP” does not indicate which allele is duplicated.",CYP2D6,yes,A
Hs00010001_cn2.0C___2222771_A0WTC__11484460_40WTC__27102414_10HETC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*1/*2,Normal Metabolizer,2,"Normal CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,no,
Hs00010001_cn2C___2222771_A0WTC__11484460_40WTC__27102414_10HETC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*1/*2,Normal Metabolizer,2,"Normal CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,no,
Hs00010001_cn2.0C___2222771_A0WTC__11484460_40WTC__27102414_10HETC__27102425_10WTC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*1/*2 (2850 (2850 wt)),Normal metabolizer,2,"Normal CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,no,
Hs00010001_cn2C___2222771_A0WTC__11484460_40WTC__27102414_10HETC__27102425_10WTC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*1/*2 (2850 (2850 wt)),Normal metabolizer,2,"Normal CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,no,
Hs00010001_cn3.0C___2222771_A0WTC__11484460_40WTC__27102414_10HETC__27102425_10HETC__27102431_D0WTC__32388575_A0WTC__32407229_60WTC__32407232_50WTC__32407243_20WTC__34816113_20WTC__34816116_20WTC_30634117C_K0WT,*1/*2 DUP,Ultrarapid Metabolizer,3^,"Increased CYP2D6 enzyme activity. Pharmacogenetic variability in the CYP2D6 enzyme can affect the plasma concentrations of many medications, including some opioids (i.e., codeine, tramadol, hydrocodone), some antidepressants (i.e., paroxetine, venlafaxine, vortioxetine, fluvoxamine), ondansetron, atomoxetine, and tamoxifen. Drugs that inhibit CYP2D6 (e.g. bupropion, fluoxetine, paroxetine, quinidine, terbinafine, cimetidine, cinacalcet, duloxetine, fluvoxamine, mirabegron) may decrease CYP2D6 enzyme activity, independent of genotype.",CYP2D6,yes,A
